"OLST_attempt_id","RADAR_capture","MOCAP_Start_Time","MOCAP_End_Time","RADAR_Start_Frame","RADAR_End_Frame","Seconds_per_Frame","an","is_attempt_final","t_foot_up","t_stable","t_break","t_end","frame_foot_up","frame_stable","frame_break","frame_end","participant_id","label","movement_code","stance_leg","lifted_leg","stance_knee_vel_mean","stance_knee_vel_std","stance_knee_vel_max","lifted_knee_vel_mean","lifted_knee_vel_std","lifted_knee_vel_max","stance_knee_acc_mean","stance_knee_acc_std","stance_knee_acc_max","lifted_knee_acc_mean","lifted_knee_acc_std","lifted_knee_acc_max","com_disp_mean","com_disp_std","com_disp_max","com_range_x","com_range_y","com_vel_mean","com_vel_std","trunk_sway_x_std","trunk_sway_y_std","trunk_sway_x_range","trunk_sway_y_range","trunk_sway_vel_mean","trunk_sway_vel_std","doppler_centroid_mean","doppler_centroid_std","doppler_centroid_max","doppler_centroid_range","micro_vel_mean","micro_vel_std","micro_vel_max","micro_vel_energy","micro_acc_mean","micro_acc_std","micro_acc_max","amp_total_power_mean","amp_total_power_std","amp_total_power_range","amp_peak_power_mean","amp_peak_power_std","amp_variation_mean","amp_variation_std","amp_variation_max","COP_AP_range_mm","COP_AP_mean_mm","COP_AP_sd_mm","COP_ML_range_mm","COP_ML_mean_mm","COP_ML_sd_mm","COP_speed_mean_mm_s","COP_speed_sd_mm_s","COP_speed_max_mm_s","COP_speed_computed_mean","GRF_Z_mean_N","GRF_Z_sd_N","GRF_Z_cv_pct","GRF_Z_range_N","sway_path_length_mm","sway_path_per_second_mm_s","trial_duration_s"
"56_MNTRL_RR_V4_an3","56_MNTRL_RR_V4","7.73","30.65","200","827","0.03655","3","True","26.43","26.74","30.23","30.46","711","720","810","821","56","STABLE","MNTRL","L","R","0.594962","0.658455","3.56488","1.30916","1.50402","7.61452","0.250957","0.399511","3.06717","0.250299","0.227234","1.32385","31.7422","33.2343","198.57","15.0608","228.482","0.86097","1.25874","7.02602","51.8116","29.4853","258.189","0.927106","1.35611","-0.144965","0.148687","0.489224","0.823206","0.00117698","0.000546996","0.00305765","0.00000168448","0.0193237","0.0132978","0.064943","90095.2","3968.75","18935.6","92.6001","3.35969","1706.86","1341.19","6336.58","65.7326","-30.9171","11.169","30.779","22.3304","6.70178","364.128","205.184","1613.35","364.251","766.078","34.3263","4.48079","315.862","1271.05","364.197","3.49"
"56_MNTRR_RR_V1_an1","56_MNTRR_RR_V1","8.03","28.9","212","785","0.03644","1","False","10.4","10.65","14.48","14.71","277","284","389","395","56","STABLE","MNTRR","R","L","0.650749","0.555205","2.8213","1.35546","1.1172","6.00152","0.25558","0.209629","1.52529","0.270557","0.203538","2.19846","21.2319","14.522","82.275","26.0793","103.988","0.584962","0.425774","12.4181","24.3687","45.1073","104.672","0.511927","0.36689","0.0203114","0.154193","0.366101","0.67962","0.000794343","0.000560231","0.00228813","0.00000094484","0.0161285","0.013291","0.0622199","99536.1","4171.28","20258.1","98.9135","7.09541","3726.28","3618.32","19528","161.441","-79.5982","30.3789","88.209","-64.972","23.9465","429.915","293.958","2429.53","429.935","773.486","40.2653","5.20569","290.532","1646.45","429.882","3.83"
"56_MNTRR_RR_V1_an2","56_MNTRR_RR_V1","8.03","28.9","212","785","0.03644","2","False","18.24","18.54","22.66","22.94","492","500","613","621","56","STABLE","MNTRR","R","L","0.434871","0.484865","3.16703","1.51087","1.60805","7.02","0.197728","0.252959","1.95056","0.255976","0.234951","1.90494","12.7344","7.94985","41.4669","41.1504","39.6795","0.405085","0.366046","10.0936","11.0072","34.5963","55.9727","0.366202","0.320226","-0.152693","0.120208","0.480433","0.683988","0.00106141","0.000590429","0.00300271","0.0000014752","0.0200866","0.0143336","0.0653089","90399","5398.86","26324.4","90.8716","3.627","2527.07","1793.72","9900.33","112.671","-78.1622","22.0266","48.3655","-82.8874","11.7141","388.895","244.054","2382.1","388.962","773.534","28.4671","3.68013","306.705","1602.29","388.905","4.12"
"56_MNTRR_RR_V1_an3","56_MNTRR_RR_V1","8.03","28.9","212","785","0.03644","3","True","26.3","26.58","28.77","28.9","713","721","781","784","56","STABLE","MNTRR","R","L","1.15531","0.719355","3.29979","2.42785","1.39375","5.95723","0.426835","0.296242","1.85854","0.482186","0.338293","2.08813","34.4624","20.2272","115.689","102.795","110.189","1.1099","0.798262","50.446","29.0372","157.555","131.036","1.21909","0.892859","-0.170674","0.122201","0.506277","0.575944","0.00111117","0.000697501","0.00316423","0.00000172121","0.0205376","0.0150999","0.0651644","89522.4","3198.17","18806.3","90.0924","3.6963","2563.27","2152.29","11176.4","173.179","-121.273","47.4033","90.2664","-87.0816","21.9713","485.657","354.054","2775.33","485.74","772.713","53.6625","6.94468","329.9","1063.66","485.688","2.19"
"56_MNTRR_RR_V2_an1","56_MNTRR_RR_V2","8.14","29.7","217","809","0.03642","1","False","9.97","10.22","14.39","14.71","267","274","389","397","56","STABLE","MNTRR","R","L","0.387465","0.24288","1.24772","1.10169","1.00893","5.98985","0.166816","0.10392","0.635377","0.269116","0.232533","1.54114","9.13625","5.9906","39.4123","19.1688","53.6178","0.341789","0.360682","7.31936","8.94605","29.598","55.6623","0.352033","0.309908","-0.0093731","0.185232","0.470409","0.838081","0.000960375","0.000649143","0.00294006","0.00000134371","0.016952","0.0130401","0.0547086","103670","5197.79","23453.2","104.204","8.17569","4745","4329.56","19235.1","84.9907","-69.2664","15.1686","60.4826","-36.9554","13.4153","373.222","210.19","1842.37","373.239","774.815","13.2102","1.70495","93.9951","1556.43","373.244","4.17"
"56_MNTRR_RR_V2_an2","56_MNTRR_RR_V2","8.14","29.7","217","809","0.03642","2","False","18.45","18.65","21.85","22.02","500","506","593","597","56","STABLE","MNTRR","R","L","1.37267","0.9686","4.61761","2.08106","1.08828","5.2007","0.385188","0.311213","1.80763","0.414879","0.263704","1.8333","45.3292","29.5638","156.478","106.832","182.341","1.05655","0.722777","48.9829","51.5839","159.321","215.051","1.0313","0.766006","-0.181879","0.0997573","0.385883","0.439792","0.00114546","0.000607327","0.00241177","0.00000168092","0.0179751","0.0127177","0.0549103","87090.3","2933.39","15559.5","88.9851","3.8283","2394.03","1890.14","8636.96","196.076","-105.209","53.3249","122.138","-65.6153","39.2015","534.289","410.821","3064.61","534.117","775.447","80.0199","10.3192","419.622","1709.65","534.266","3.2"
"56_MNTRR_RR_V2_an3","56_MNTRR_RR_V2","8.14","29.7","217","809","0.03642","3","True","26.1","26.33",NULL,"29.7","710","716",NULL,"808","56","STABLE","MNTRR","R","L","0.668146","0.694167","3.96769","1.41391","1.37812","6.83637","0.235542","0.237778","1.87318","0.337247","0.350872","2.17877","18.8927","13.1617","75.3024","42.1484","96.6709","0.540604","0.430237","16.6097","24.3533","53.404","116.438","0.566086","0.446523","-0.236822","0.142983","0.6394","0.760175","0.0015201","0.000823839","0.00399625","0.0000029894","0.0207217","0.015007","0.0667699","91687.9","6439.59","37782.2","90.7127","4.56219","3815.64","3060.2","15253.3","145.208","-125.051","28.0773","87.5616","-97.4731","21.9464","429.111","273.744","2190.97","429.069","774.699","24.3207","3.13937","177.31","1446.23","429.15","3.37"
"56_MNTRR_RR_V3_an1","56_MNTRR_RR_V3","7.9","29.47","210","800","0.03661","1","False","10.36","10.67","14.47","14.74","277","286","389","396","56","STABLE","MNTRR","R","L","0.456634","0.41242","2.75709","1.32568","1.29225","6.45714","0.18853","0.203265","1.72644","0.234776","0.17558","0.998469","18.6746","8.72516","59.1951","29.4024","83.0769","0.52008","0.387487","7.03787","18.6302","23.531","87.894","0.490185","0.326043","0.0195593","0.137038","0.423624","0.825876","0.000674563","0.000541742","0.00264765","0.000000748519","0.0152584","0.0118889","0.0462427","100160","5647.6","26731.9","99.7129","8.57008","3817.31","3583.54","16471.5","150.554","-36.0571","25.1409","78.6756","-48.6609","18.9174","393.095","242.101","2239.35","393.054","773.942","29.3248","3.78901","230.412","1493.84","393.117","3.8"
"56_MNTRR_RR_V3_an2","56_MNTRR_RR_V3","7.9","29.47","210","800","0.03661","2","False","18.18","18.44","21.87","21.99","490","498","592","594","56","STABLE","MNTRR","R","L","0.787235","0.735545","4.48961","1.62822","1.19593","6.38236","0.25165","0.197198","1.21273","0.31148","0.222182","1.35593","24.0242","19.106","120.347","33.8419","140.432","0.843532","0.728215","13.9115","35.106","59.9047","165.165","0.80159","0.769344","-0.179925","0.120958","0.725334","0.809343","0.00116101","0.000698677","0.00453334","0.00000183609","0.0202162","0.0153212","0.0758459","87593.3","3338.34","22683.2","89.5422","3.06721","2079.15","1826.56","8554.29","167.002","-29.2826","31.4351","50.9897","-71.2138","15.4759","432.494","295.85","2398.6","432.463","772.54","63.4787","8.21687","515.144","1483.5","432.508","3.43"
"56_MNTRR_RR_V3_an3","56_MNTRR_RR_V3","7.9","29.47","210","800","0.03661","3","True","26.79","26.94",NULL,"29.47","726","730",NULL,"799","56","STABLE","MNTRR","R","L","1.39869","1.18361","4.66015","2.38376","1.24965","7.04648","0.415426","0.30366","1.93643","0.455454","0.281501","2.21215","30.1291","14.2428","73.9896","34.9957","105.444","0.763201","0.454904","6.10211","34.6256","25.3603","116.17","0.637364","0.427828","-0.193709","0.132323","0.410327","0.774166","0.00133731","0.000601103","0.00256454","0.00000214971","0.0191222","0.0168436","0.0894309","89056.9","4057.32","23583.2","88.9287","3.52701","2621.01","1950.88","8953.56","170.824","-35.0781","47.9837","140.012","-84.1336","41.0626","589.987","450.488","3601.79","589.898","773.376","77.5853","10.032","531.625","1493.01","590.124","2.53"
"56_MNTRR_RR_V4_an1","56_MNTRR_RR_V4","7.54","29.47","203","803","0.03647","1","False","10.08","10.3","14.09","14.71","272","279","383","399","56","STABLE","MNTRR","R","L","0.542561","0.489307","3.03201","1.13948","1.31796","6.62629","0.192851","0.153742","1.0213","0.214255","0.155537","0.885301","16.2688","10.2806","58.3649","46.0628","76.8193","0.501488","0.453257","13.157","18.2342","43.9117","85.8293","0.470979","0.335168","0.00158644","0.113849","0.348525","0.642778","0.000566102","0.00043121","0.00217828","0.000000506414","0.0147385","0.00986327","0.0387433","98538.5","5020.19","22994.4","99.9357","6.29728","3412","3201.78","18625.7","115.756","-67.1041","22.8693","67.1572","-26.319","13.8884","383.427","226.191","1693.48","383.42","773.552","31.1948","4.03266","235.905","1453","383.376","3.79"
"56_MNTRR_RR_V4_an2","56_MNTRR_RR_V4","7.54","29.47","203","803","0.03647","2","False","18.21",NULL,NULL,"18.78","495",NULL,NULL,"511","56","UNSTABLE","MNTRR","R","L","0.70429","0.39579","1.53628","5.36966","1.09616","6.83557","0.174125","0.0901522","0.44519","0.436609","0.184082","0.96892","18.6891","10.4518","47.9811","3.17689","66.0877","1.46323","0.63342","4.00348","21.222","14.34","71.5633","1.34279","0.950349","-0.188941","0.101875","0.404636","0.370976","0.00118088","0.000636719","0.00252897","0.00000179989","0.0194522","0.0106502","0.0379448","85990.7","2468.63","8224.33","87.1303","3.95262","2158.78","1281.16","5873.04","24.0697","-40.9556","6.92915","13.6799","-43.9814","3.79404","346.149","199.764","1180.42","345.724","763.894","32.9869","4.31826","117.8","197.054","345.708","0.57"
"56_MNTRR_RR_V4_an3","56_MNTRR_RR_V4","7.54","29.47","203","803","0.03647","3","False","19.12",NULL,NULL,"19.32","520",NULL,NULL,"526","56","UNSTABLE","MNTRR","R","L","0.419489","0.156746","0.677492","3.53668","1.24565","6.47309","0.223787","0.10022","0.3895","0.702981","0.237582","1.17473","2.88628","1.41345","5.40923","4.11917","8.70089","0.607386","0.0840151","0.711046","3.56148","2.151","11.3463","0.580326","0.272911","-0.136709","0.0484302","0.24554","0.152786","0.000854432","0.000302689","0.00153462","0.000000821674","0.00555498","0.00536179","0.0164753","87540.1","2049.87","6040.92","91.1648","2.26525","3674.7","649.932","4545.58","11.2806","-61.9722","3.90249","3.60294","-36.8516","0.987427","346.274","205.444","1021.44","346.816","740.376","19.7468","2.66713","61.9516","69.3753","346.877","0.2"
"56_MNTRR_RR_V4_an4","56_MNTRR_RR_V4","7.54","29.47","203","803","0.03647","4","False","19.51","19.71","22.73","22.94","531","537","620","625","56","STABLE","MNTRR","R","L","0.727895","0.77651","4.74109","1.53782","1.43255","7.1356","0.253904","0.20106","1.33109","0.303789","0.237473","1.74918","26.6995","12.1822","77.1442","39.3891","99.4254","0.578965","0.500448","10.4258","27.4634","49.211","102.738","0.495104","0.372044","-0.154042","0.141836","0.557309","0.967844","0.00115649","0.000612599","0.00348318","0.00000171275","0.0184335","0.0154849","0.0706742","91176.7","6211.84","32361.3","90.8781","4.45705","2541.35","2086.62","8683.34","135.385","-63.2439","24.9722","119.851","-47.834","31.3768","418.903","330.791","4735.24","418.958","772.072","58.0603","7.52006","536.508","1265.18","418.934","3.02"
"56_MNTRR_RR_V4_an5","56_MNTRR_RR_V4","7.54","29.47","203","803","0.03647","5","True","26.07","26.3","29.29","29.45","711","717","799","803","56","STABLE","MNTRR","R","L","0.858983","0.707254","3.85277","1.88958","1.75993","10.4509","0.268433","0.25947","2.2121","0.352204","0.304506","1.73015","36.4641","34.0481","197.966","58.1057","234.889","1.13288","1.23287","13.5745","58.586","66.5973","266.248","1.16442","1.28626","-0.211126","0.183541","0.786188","1.12676","0.00140436","0.00104157","0.00491367","0.00000305709","0.0193701","0.0165909","0.0807116","91681.3","6890.21","36420.2","89.71","4.15026","3278.76","2585.01","10415.5","148.974","-103.808","30.1931","72.0129","-53.717","19.6741","432.782","277.148","2313.05","432.862","771.327","39.8137","5.16171","273.746","1294.18","432.836","2.99"
"56_TRLGL_RR_V1_an1","56_TRLGL_RR_V1","7.82","15.64","206","420","0.03649","1","True","9.98","10.55",NULL,"15.64","265","281",NULL,"420","56","STABLE","TRLGL","L","R","0.774656","0.807047","4.89044","1.60869","1.36244","6.29676","0.330151","0.33342","2.25804","0.339511","0.275616","2.0558","26.2639","15.1604","79.6719","46.6108","108.377","0.516834","0.394699","10.698","26.6996","50.4967","93.6047","0.44372","0.277029","0.0125067","0.150988","0.398747","0.697962","0.000769528","0.000551781","0.00249217","0.000000896636","0.0166754","0.0136934","0.0578144","97768.5","6117.75","28198.4","96.9712","7.37865","3053.45","3549.71","22090.8","183.138","-8.70989","37.6878","100.85","41.3084","27.8296","451.469","345.292","5100.15","451.596","767.821","77.2766","10.0644","707.409","2298.16","451.505","5.09"
